Name,StopId,StreetNumber,StreetName,SuburbId,StateId,CountryId,PostCode,EntranceType,Latitude,Longitude,ExitNumber
Railway,861,4,Railway Parade,12196,5,2,2515,Path,-34.317883,150.918865,NULL
Railway,862,4,Railway Parade,12196,5,2,2515,Stairs,-34.317958,150.918851,NULL
Station,860,7,Station Street,12196,5,2,2515,Lift,-34.317997,150.919252,NULL
Railway,864,NULL,NULL,12214,5,2,2120,Stairs,-33.732118,151.078332,NULL
Railway,863,288,Pennant Hills Road,12214,5,2,2120,Path,-33.732079,151.078373,NULL
The Esplanade,865,86,The Esplanade,12214,5,2,2120,Stairs,-33.731809,151.078118,NULL
Karuah,867,17,Karuah Street,12216,5,2,2322,Lift,-32.783561,151.639955,NULL
Karuah,866,17,Karuah Street,12216,5,2,2322,Stairs,-32.783573,151.639993,NULL
Wentworth,868,40,Cooyong Crescent,12366,5,2,2146,Ramp,-33.786999,150.951607,NULL
Portice,869,11,Portico Parade,12366,5,2,2146,Ramp,-33.787142,150.951166,NULL
Towradgi,880,NULL,NULL,12443,5,2,2518,Ramp,-34.384126,150.901358,NULL
Towradgi,879,NULL,NULL,12443,5,2,2518,Ramp,-34.384084,150.901667,NULL
Bryant,881,NULL,Bryant Drive,12514,5,2,2259,Ramp,-33.307745,151.420420,NULL
Bryant,882,NULL,Bryant Drive,12514,5,2,2259,Stairs,-33.307745,151.420420,NULL
Pacific,883,86,Pacific Highway,12514,5,2,2259,Ramp,-33.307474,151.420075,NULL
Pacific,884,NULL,Pacific Highway,12514,5,2,2259,Stairs,-33.307677,151.420038,NULL
William,886,NULL,Rohini St,12572,5,2,2074,Path,-33.732877,151.128659,NULL
Rohini,885,2a,Rohini Street,12572,5,2,2074,Path,-33.732589,151.129097,NULL
Reede,887,128,Turrella Street,12575,5,2,2205,Stairs,-33.929774,151.140428,NULL
Pyrmont,295,456B,Harris Street,12638,5,2,2007,Stairs,-33.876787,151.199250,NULL
Berkeley,888,NULL,NULL,12647,5,2,2526,Stairs,-34.455128,150.846083,NULL
Berkeley,889,NULL,NULL,12647,5,2,2526,Stairs,-34.454803,150.845495,NULL
Great Western,891,NULL,NULL,12790,5,2,2777,Ramp,-33.703855,150.584019,NULL
Great Western,890,NULL,NULL,12790,5,2,2777,Stairs,-33.703882,150.584080,NULL
Great Western,892,4,The Valley Road,12790,5,2,2777,Stairs,-33.704148,150.583689,NULL
Christina,453,NULL,Christina Road,12835,5,2,2163,Ramp,-33.881263,150.984962,NULL
Monier,452,2,Monier Square,12835,5,2,2163,Ramp,-33.881894,150.985102,NULL
Villawood,895,NULL,River Avenue,12835,5,2,2163,Stairs,-33.880921,150.977362,NULL
River,896,101,River Avenue,12835,5,2,2163,Stairs,-33.880740,150.977347,NULL
Bandon,897,100,Bandon Road,NULL,5,2,2765,Ramp,-33.650188,150.851063,NULL
Redleaf,898,1-5,Railway Avenue,12881,5,2,2076,Stairs,-33.718001,151.117518,NULL
Alexandria,899,49,Alexandria Parade,12888,5,2,2077,Path,-33.710286,151.105246,NULL
Waitara,900,12,Waitara Avenue,12888,5,2,2077,Stairs,-33.710656,151.104915,NULL
Wallarobba Brookfield,901,1428,Dungog Road,12943,5,2,2420,Ramp,-32.496150,151.695692,NULL
Eucalyptus,902,9A,Eucalyptus Circuit,13051,5,2,2304,Ramp,-32.886983,151.711187,NULL
Platt,904,NULL,NULL,13055,5,2,2298,Stairs,-32.902103,151.731215,NULL
Warnervale,908,2,Albert Warner Drive,13091,5,2,2259,Path,-33.247384,151.449136,NULL
Warnervale,909,2,Albert Warner Drive,13091,5,2,2259,Path,-33.247132,151.448845,NULL
Heydon,911,19,Heydon Avenue,13126,5,2,2074,Path,-33.724541,151.121722,NULL
Warrawee,910,1,Warrawee Avenue,13126,5,2,2074,Path,-33.724393,151.122039,NULL
Great Western,915,285,Great Western Highway,13144,5,2,2774,Ramp,-33.722068,150.602657,NULL
Great Western,914,NULL,Great Western Highway,13144,5,2,2774,Ramp,-33.721592,150.602768,NULL
Great Western,916,289,Great Western Highway,13144,5,2,2774,Stairs,-33.722044,150.602565,NULL
Great Western,913,NULL,Great Western Highway,13144,5,2,2774,Stairs,-33.721589,150.602781,NULL
Railway,912,58,Railway Parade,13144,5,2,2774,Stairs,-33.721326,150.602951,NULL
Remembrance,919,NULL,Remembrance Avenue,13160,5,2,2170,Lift,-33.913246,150.934995,NULL
Remembrance,920,NULL,Remembrance Avenue,13160,5,2,2170,Stairs,-33.913473,150.934961,NULL
Warwick,918,NULL,Warwick Street,13160,5,2,2170,Lift,-33.913405,150.935276,NULL
Warwick,917,NULL,Warwick Street,13160,5,2,2170,Stairs,-33.913180,150.935324,NULL
Kooraban,921,3,McKell Avenue,13172,5,2,2233,Ramp,-34.135172,150.994605,NULL
Botany,339,297,Botany Road,13181,5,2,2017,Stairs,-33.905818,151.203031,NULL
Bay,922,NULL,NULL,13231,5,2,2060,Path,-33.837567,151.197468,NULL
Bay,923,94A,Bay Road,13231,5,2,2060,Path,-33.837610,151.197336,NULL
Railway,924,8,Railway Parade,13313,5,2,2782,Stairs,-33.709329,150.376489,NULL
Station,925,22,Station Street,13313,5,2,2782,Stairs,-33.709525,150.376119,NULL
The Kingsway,931,NULL,NULL,13314,5,2,2145,Ramp,-33.807068,150.971827,NULL
The Kingsway,929,1,The Kingsway,13314,5,2,2145,Stairs,-33.807252,150.972304,NULL
Wentworth,930,83,Wentworth Avenue,13314,5,2,2145,Ramp,-33.806676,150.971932,NULL
Wentworth,928,79,Wentworth Avenue,13314,5,2,2145,Stairs,-33.806868,150.972524,NULL
Railway,935,10,Kazanis Court,13330,5,2,2747,Lift,-33.759207,150.757401,NULL
Victoria,934,10,Kazanis Court,13330,5,2,2747,Lift,-33.759037,150.757445,NULL
Victoria,932,10,Kazanis Court,13330,5,2,2747,Stairs,-33.759049,150.757566,NULL
Railway,933,18,Railway Street,13330,5,2,2747,Stairs,-33.759249,150.757531,NULL
Railway,937,2D,Ryedale Road,13395,5,2,2114,Lift,-33.807471,151.090403,NULL
West,939,2D,Ryedale Road,13395,5,2,2114,Ramp,-33.807044,151.090083,NULL
Railway,936,2D,Ryedale Road,13395,5,2,2114,Stairs,-33.807466,151.090579,NULL
