StationName,StreetNumber,StreetName,Suburb,PostCode,State,EntranceType,EntranceLatitude,EntranceLongitude,ExitNumber,StopID
Victoria,NULL,Darlinghurst Road,Potts Point,2011,New South Wales,Lift,-33.874269,151.222204,NULL,420
Victoria,NULL,Darlinghurst Road,Potts Point,2011,New South Wales,Stairs,-33.874237,151.222195,NULL,421
Kingsgrove,1,Commercial Road,Kingsgrove,2208,New South Wales,Stairs,-33.940375,151.101084,NULL,422
Kingsgrove,231,Kingsgrove Road,Kingsgrove,2208,New South Wales,Lift,-33.940480,151.100874,NULL,423
Kingsgrove,1,Commercial Road,Kingsgrove,2208,New South Wales,Stairs,-33.940457,151.100856,NULL,424
Richmond,NULL,NULL,Kingswood,2747,New South Wales,Ramp,-33.758233,150.720239,NULL,425
Great Western,NULL,NULL,Kingswood,2747,New South Wales,Lift,-33.758426,150.720233,NULL,426
Richmond,NULL,NULL,Kingswood,2747,New South Wales,Stairs,-33.758233,150.720116,NULL,427
Great Western,NULL,NULL,Kingswood,2747,New South Wales,Stairs,-33.758367,150.720071,NULL,428
Oak,166,Oak Road,Kirrawee,2232,New South Wales,Path,-34.034911,151.071020,NULL,429
Regent,11,Railway Parade,Kogarah,2217,New South Wales,Stairs,-33.962796,151.132691,NULL,430
Regent,1,Railway Parade,Kogarah,2217,New South Wales,Lift,-33.962746,151.132687,NULL,431
Station,7,Railway Parade,Kogarah,2217,New South Wales,Stairs,-33.962605,151.132201,NULL,432
Station,7,Railway Parade,Kogarah,2217,New South Wales,Lift,-33.962643,151.132191,NULL,433
Station,14,Station Street,Kogarah,2217,New South Wales,Stairs,-33.962688,151.132145,NULL,434
Station,12,Station Street,Kogarah,2217,New South Wales,Ramp,-33.962795,151.132102,NULL,435
Glenrock,38,Brisbane Water Drive,Koolewong,2256,New South Wales,Stairs,-33.466133,151.318476,NULL,436
Glenrock,138,Glenrock Parade,Koolewong,2256,New South Wales,Stairs,-33.466144,151.318369,NULL,437
Park,202,Park Avenue,Kotara,2289,New South Wales,Stairs,-32.941769,151.698059,NULL,438
Kotara,7-9,Kotara Place,Kotara,2289,New South Wales,Ramp,-32.941369,151.697463,NULL,439
The Boulevarde,60A,The Boulevarde,Lakemba,2195,New South Wales,Lift,-33.920101,151.076370,NULL,440
Railway,44,Railway Parade,Lakemba,2195,New South Wales,Lift,-33.919880,151.076251,NULL,441
Railway,44,Railway Parade,Lakemba,2195,New South Wales,Stairs,-33.919759,151.076133,NULL,442
Explorers,215,Explorers Road,Lapstone,2773,New South Wales,Ramp,-33.773278,150.642635,NULL,443
Explorers,215,Explorers Road,Lapstone,2773,New South Wales,Stairs,-33.773559,150.642610,NULL,444
Honour,7,Honour Avenue,Lawson,2783,New South Wales,Ramp,-33.719507,150.430417,NULL,445
Great Western,1,Honour Avenue,Lawson,2783,New South Wales,Ramp,-33.719142,150.430060,NULL,446
Lotus,6,Loftus Street,Lawson,2783,New South Wales,Ramp,-33.718972,150.429606,NULL,447
Great Western,289,A32,Lawson,2783,New South Wales,Ramp,-33.719435,150.429499,NULL,448
James,130,James Street,Lilyfield,2040,New South Wales,Lift,-33.874980,151.155035,NULL,449
James,130,James Street,Lilyfield,2040,New South Wales,Stairs,-33.874994,151.155017,NULL,450
City West Link,71,Hubert Street,Lilyfield,2040,New South Wales,Path,-33.874998,151.153580,NULL,451
Monier,2,Monier Square,Villawood,2163,New South Wales,Ramp,-33.881894,150.985102,NULL,452
Christina,NULL,Christina Road,Villawood,2163,New South Wales,Ramp,-33.881263,150.984962,NULL,453
Rickard,199,Rickard Road,Leppington,2179,New South Wales,Stairs,-33.954439,150.808266,NULL,454
Rickard,187,Rickard Road,Leppington,2179,New South Wales,Lift,-33.954515,150.808246,NULL,455
O'Sullivan,2,O'Sullivan Road,Leumeah,2560,New South Wales,Lift,-34.050674,150.830805,NULL,456
Plough Inn,NULL,Plough Inn Road,Leumeah,2560,New South Wales,Path,-34.050312,150.830767,NULL,457
Old Leumeah,4,O'Sullivan Road,Leumeah,2560,New South Wales,Ramp,-34.050801,150.830725,NULL,458
Old Leumeah,2,O'Sullivan Road,Leumeah,2560,New South Wales,Stairs,-34.050813,150.830702,NULL,459
O'Sullivan,2,O'Sullivan Road,Leumeah,2560,New South Wales,Stairs,-34.050895,150.830574,NULL,460
Plough Inn,NULL,Plough Inn Road,Leumeah,2560,New South Wales,Lift,-34.050482,150.830560,NULL,461
O'Sullivan,4,O'Sullivan Road,Leumeah,2560,New South Wales,Ramp,-34.051029,150.830433,NULL,462
Railway,133,Leura Mall,Leura,2780,New South Wales,Stairs,-33.712120,150.331128,NULL,463
Thomas,4,Victoria Street,Lewisham,2049,New South Wales,Stairs,-33.893109,151.147598,NULL,464
Railway,2,Victoria Street,Lewisham,2049,New South Wales,Stairs,-33.893635,151.147544,NULL,465
Hudson,2,McGill Street,Lewisham,2049,New South Wales,Path,-33.893850,151.143462,NULL,466
Smith,16,Flour Mill Way,Summer Hill,2130,New South Wales,Path,-33.893786,151.143342,NULL,467
Church,31A,Church Street,Lidcombe,2141,New South Wales,Path,-33.863531,151.045064,NULL,468
