SchoolCode,SchoolName,StreetNumber,StreetName,SuburbId,StateId,CountryId,LevelOfSchooling,Latitude,Longitude,SchoolSpecialtyType,SchoolSubType,SchoolGender,ICSEAValue
3438,Whitton-Murrami Public School,48,Benerembah Street,13492,5,2,Primary School,-34.518934,146.181248,Comprehensive,Kinder to Year 6,Coed,917
3439,Wiangaree Public School,NULL,NULL,13512,5,2,Primary School,-28.511356,152.965535,Comprehensive,Kinder to Year 6,Coed,969
4474,Widemere Public School,13,Hyacinth Street,5308,5,2,Primary School,-33.834174,150.939897,Comprehensive,Kinder to Year 6,Coed,1033
4433,Wideview Public School,20,Lonsdale Avenue,963,5,2,Primary School,-33.608499,151.141510,Comprehensive,Kinder to Year 6,Coed,1093
3441,Wilberforce Public School,NULL,NULL,13531,5,2,Primary School,-33.558704,150.839763,Comprehensive,Kinder to Year 6,Coed,998
3442,Wilcannia Central School,88,Woore Street,13536,5,2,Central/Community School,-31.558478,143.375910,Comprehensive,Kinder to Year 12,Coed,617
8888,Wiley Park Girls High School,1,Hillcrest Street,13544,5,2,Secondary School,-33.924357,151.066545,Comprehensive,Year 7 to Year 12,Girls,937
4553,Wiley Park Public School,NULL,NULL,13544,5,2,Primary School,-33.924753,151.068761,Comprehensive,Kinder to Year 6,Coed,972
4543,Wilkins Public School,31,Park Road,7737,5,2,Primary School,-33.901967,151.155086,Comprehensive,Kinder to Year 6,Coed,1117
5550,Willans Hill School,40,Coleman Street,12578,5,2,Schools for Specific Purposes,-35.126266,147.369416,Comprehensive,Medium / High Support needs,Coed,NULL
3445,Willawarrin Public School,82,Armidale Road,13564,5,2,Primary School,-30.925714,152.625518,Comprehensive,Kinder to Year 6,Coed,832
4602,William Bayldon Public School,NULL,NULL,1342,5,2,Primary School,-30.363714,153.080348,Comprehensive,Kinder to Year 6,Coed,869
4576,William Dean Public School,15,Yarramundi Drive,3546,5,2,Primary School,-33.734259,150.858693,Comprehensive,Kinder to Year 6,Coed,946
5614,William Rose School,1,Morris Street,11149,5,2,Schools for Specific Purposes,-33.769095,150.937493,Comprehensive,Medium / High Support needs,Coed,NULL
4563,William Stimson Public School,36-54,Lily Street,13436,5,2,Primary School,-33.854623,150.905782,Comprehensive,Kinder to Year 6,Coed,993
4470,Willmot Public School,7,De Witt Place,13579,5,2,Primary School,-33.725747,150.794401,Comprehensive,Kinder to Year 6,Coed,842
