SchoolCode,SchoolName,StreetNumber,StreetName,Suburb,District,StateName,PostCode,CountryName,LevelOfSchooling,SchoolSubType,LocationLatitude,LocationLongitude,SchoolGender,SchoolSpecialityType
3070,Singleton Public School,21,Elizabeth Street,Singleton,,New South Wales,2330,Australia,Primary School,Kinder to Year 6,-32.563135,151.171752,Coed,Comprehensive
3073,Smithfield Public School,750,The Horsley Drive,Smithfield,,New South Wales,2164,Australia,Primary School,Kinder to Year 6,-33.853583,150.933495,Coed,Comprehensive
3075,Smithtown Public School,30-38,Cannane Street,Smithtown,,New South Wales,2440,Australia,Primary School,Kinder to Year 6,-31.018188,152.941365,Coed,Comprehensive
3077,Sofala Public School,3,Turon Terrace,Sofala,,New South Wales,2795,Australia,Primary School,Kinder to Year 6,-33.082242,149.695172,Coed,Comprehensive
3078,Somersby Public School,840,Wisemans Ferry Road,Somersby,,New South Wales,2250,Australia,Primary School,Kinder to Year 6,-33.358368,151.291312,Coed,Comprehensive
3079,Somerton Public School,11,Milkmaid Street,Somerton,,New South Wales,2340,Australia,Primary School,Kinder to Year 6,-30.938432,150.641556,Coed,Comprehensive
3083,South West Rocks Public School,62,Gregory Street,South West Rocks,,New South Wales,2431,Australia,Primary School,Kinder to Year 6,-30.891502,153.039879,Coed,Comprehensive
3089,Spring Hill Public School,12,Lucknow Street,Spring Hill,,New South Wales,2800,Australia,Primary School,Kinder to Year 6,-33.399574,149.151294,Coed,Comprehensive
3091,Spring Ridge Public School,NULL,NULL,Spring Ridge,,New South Wales,2343,Australia,Primary School,Kinder to Year 6,-31.392399,150.254649,Coed,Comprehensive
3093,Spring Terrace Public School,574,Forest Road,Spring Terrace,,New South Wales,2798,Australia,Primary School,Kinder to Year 6,-33.393976,149.097369,Coed,Comprehensive
3095,Springwood Public School,1-59,Burns Road,Springwood,,New South Wales,2777,Australia,Primary School,Kinder to Year 6,-33.704613,150.573472,Coed,Comprehensive
3103,Stanwell Park Public School,56,Stanwell Avenue,Stanwell Park,,New South Wales,2508,Australia,Primary School,Kinder to Year 6,-34.228715,150.984536,Coed,Comprehensive
3104,Warrawong Public School,38,Oxlade Street,Warrawong,,New South Wales,2502,Australia,Primary School,Kinder to Year 6,-34.481367,150.877847,Coed,Comprehensive
3109,Stockinbingal Public School,9,Dudauman Street,Stockinbingal,,New South Wales,2725,Australia,Primary School,Kinder to Year 6,-34.497611,147.883065,Coed,Comprehensive
3110,Stockton Public School,10,Clyde Street,Stockton,,New South Wales,2295,Australia,Primary School,Kinder to Year 6,-32.910956,151.781095,Coed,Comprehensive
3112,Stokers Siding Public School,242,Stokers Road,Stokers Siding,,New South Wales,2484,Australia,Primary School,Kinder to Year 6,-28.393823,153.404371,Coed,Comprehensive
3119,Stratford Public School,6,Anne Street,Stratford,,New South Wales,2422,Australia,Primary School,Kinder to Year 6,-32.116885,151.939220,Coed,Comprehensive
3122,Stratheden Public School,NULL,Stratheden Road,Stratheden,,New South Wales,2470,Australia,Primary School,Kinder to Year 6,-28.755713,152.937222,Coed,Comprehensive
3123,Strathfield North Public School,257B,Concord Road,Concord West,,New South Wales,2138,Australia,Primary School,Kinder to Year 6,-33.854531,151.092040,Coed,Comprehensive
3124,Strathfield South Public School,244,Homebush Road,Strathfield,,New South Wales,2135,Australia,Primary School,Kinder to Year 6,-33.890780,151.084702,Coed,Comprehensive
3125,Stroud Public School,24,Erin Street,Stroud,,New South Wales,2425,Australia,Primary School,Kinder to Year 6,-32.402533,151.964239,Coed,Comprehensive
3126,Stroud Road Public School,733,The Bucketts Way,Stroud Road,,New South Wales,2415,Australia,Primary School,Kinder to Year 6,-32.347986,151.932369,Coed,Comprehensive
3127,Stuart Town Public School,5961,Burrendong Way,Stuart Town,,New South Wales,2820,Australia,Primary School,Kinder to Year 6,-32.802566,149.068273,Coed,Comprehensive
3129,Summer Hill Public School,NULL,NULL,Summer Hill,,New South Wales,2130,Australia,Primary School,Kinder to Year 6,-33.895815,151.135853,Coed,Comprehensive
3136,Sutherland Public School,10,Merton Street,Sutherland,,New South Wales,2232,Australia,Primary School,Kinder to Year 6,-34.033001,151.059149,Coed,Comprehensive
3137,Sutton Public School,18,Victoria Street,Sutton,,New South Wales,2620,Australia,Primary School,Kinder to Year 6,-35.165611,149.254979,Coed,Comprehensive
3141,Swansea Public School,1,Rawson Street,Swansea,,New South Wales,2281,Australia,Primary School,Kinder to Year 6,-33.084061,151.636301,Coed,Comprehensive
3143,Sylvania Public School,46,Princes Highway,Sylvania,,New South Wales,2224,Australia,Primary School,Kinder to Year 6,-34.008118,151.112077,Coed,Comprehensive
3145,Tabulam Public School,NULL,NULL,Tabulam,,New South Wales,2469,Australia,Primary School,Kinder to Year 6,-28.888649,152.568703,Coed,Comprehensive
3147,Tacoma Public School,73,Hillcrest Avenue,Tacoma,,New South Wales,2259,Australia,Primary School,Kinder to Year 6,-33.282980,151.458936,Coed,Comprehensive
3148,Tahmoor Public School,2690,Remembrance Driveway,Tahmoor,,New South Wales,2573,Australia,Primary School,Kinder to Year 6,-34.227663,150.588951,Coed,Comprehensive
3153,Tallimba Public School,12-14,Kikoira Street,Tallimba,,New South Wales,2669,Australia,Primary School,Kinder to Year 6,-33.993586,146.877792,Coed,Comprehensive
