TransportId,Name,StopId,StreetNumber,StreetName,Suburb,PostCode,State,Country,EntranceType,Latitude,Longitude,ExitNumber
6489,Richmond,427,NULL,NULL,Kingswood,2747,New South Wales,Australia,Stairs,-33.758233,150.720116,NULL
6490,Great Western,428,NULL,NULL,Kingswood,2747,New South Wales,Australia,Stairs,-33.758367,150.720071,NULL
6491,Oak,429,166,Oak Road,Kirrawee,2232,New South Wales,Australia,Path,-34.034911,151.071020,NULL
6492,Regent,430,11,Railway Parade,Kogarah,2217,New South Wales,Australia,Stairs,-33.962796,151.132691,NULL
6493,Regent,431,1,Railway Parade,Kogarah,2217,New South Wales,Australia,Lift,-33.962746,151.132687,NULL
6494,Station,432,7,Railway Parade,Kogarah,2217,New South Wales,Australia,Stairs,-33.962605,151.132201,NULL
6495,Station,433,7,Railway Parade,Kogarah,2217,New South Wales,Australia,Lift,-33.962643,151.132191,NULL
6496,Station,434,14,Station Street,Kogarah,2217,New South Wales,Australia,Stairs,-33.962688,151.132145,NULL
6497,Station,435,12,Station Street,Kogarah,2217,New South Wales,Australia,Ramp,-33.962795,151.132102,NULL
6498,Glenrock,436,38,Brisbane Water Drive,Koolewong,2256,New South Wales,Australia,Stairs,-33.466133,151.318476,NULL
6499,Glenrock,437,138,Glenrock Parade,Koolewong,2256,New South Wales,Australia,Stairs,-33.466144,151.318369,NULL
6500,Park,438,202,Park Avenue,Kotara,2289,New South Wales,Australia,Stairs,-32.941769,151.698059,NULL
6501,Kotara,439,7-9,Kotara Place,Kotara,2289,New South Wales,Australia,Ramp,-32.941369,151.697463,NULL
6502,The Boulevarde,440,60A,The Boulevarde,Lakemba,2195,New South Wales,Australia,Lift,-33.920101,151.076370,NULL
6503,Railway,441,44,Railway Parade,Lakemba,2195,New South Wales,Australia,Lift,-33.919880,151.076251,NULL
6504,Railway,442,44,Railway Parade,Lakemba,2195,New South Wales,Australia,Stairs,-33.919759,151.076133,NULL
6505,Explorers,443,215,Explorers Road,Lapstone,2773,New South Wales,Australia,Ramp,-33.773278,150.642635,NULL
6506,Explorers,444,215,Explorers Road,Lapstone,2773,New South Wales,Australia,Stairs,-33.773559,150.642610,NULL
6507,Honour,445,7,Honour Avenue,Lawson,2783,New South Wales,Australia,Ramp,-33.719507,150.430417,NULL
6508,Great Western,446,1,Honour Avenue,Lawson,2783,New South Wales,Australia,Ramp,-33.719142,150.430060,NULL
6509,Lotus,447,6,Loftus Street,Lawson,2783,New South Wales,Australia,Ramp,-33.718972,150.429606,NULL
6510,Great Western,448,289,A32,Lawson,2783,New South Wales,Australia,Ramp,-33.719435,150.429499,NULL
6511,James,449,130,James Street,Lilyfield,2040,New South Wales,Australia,Lift,-33.874980,151.155035,NULL
6512,James,450,130,James Street,Lilyfield,2040,New South Wales,Australia,Stairs,-33.874994,151.155017,NULL
6513,City West Link,451,71,Hubert Street,Lilyfield,2040,New South Wales,Australia,Path,-33.874998,151.153580,NULL
6514,Monier,452,2,Monier Square,Villawood,2163,New South Wales,Australia,Ramp,-33.881894,150.985102,NULL
6515,Christina,453,NULL,Christina Road,Villawood,2163,New South Wales,Australia,Ramp,-33.881263,150.984962,NULL
6516,Rickard,454,199,Rickard Road,Leppington,2179,New South Wales,Australia,Stairs,-33.954439,150.808266,NULL
6517,Rickard,455,187,Rickard Road,Leppington,2179,New South Wales,Australia,Lift,-33.954515,150.808246,NULL
