StateCode,State,District,City,Suburb,PostCode,Location,PropertyMedianValue,UpdatedYear,UpdatedMonth
NSW,NEW SOUTH WALES,NULL,SYDNEY,Frenchs Forest East,2086,NULL,1645500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Forestville,2087,NULL,1703000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Killarney Heights,2087,NULL,1703000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Mosman,2088,NULL,1860000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Spit Junction,2088,NULL,1860000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Neutral Bay,2089,NULL,1300000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Neutral Bay Junction,2089,NULL,1300000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Cremorne,2090,NULL,1290000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Cremorne Junction,2090,NULL,1290000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Cremorne Point,2090,NULL,1290000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Seaforth,2092,NULL,2655700.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Balgowlah,2093,NULL,1470000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Balgowlah Heights,2093,NULL,1470000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Clontarf,2093,NULL,1470000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Manly Vale,2093,NULL,1470000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,North Balgowlah,2093,NULL,1470000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Fairlight,2094,NULL,1413000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Manly,2095,NULL,1200000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Manly East,2095,NULL,1200000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Curl Curl,2096,NULL,975000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Harbord,2096,NULL,975000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Queenscliff,2096,NULL,975000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Collaroy,2097,NULL,1470750.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Collaroy Beach,2097,NULL,1470750.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Collaroy Plateau West,2097,NULL,1470750.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Wheeler Heights,2097,NULL,1470750.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Cromer,2099,NULL,1000000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Dee Why,2099,NULL,1000000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Narraweena,2099,NULL,1000000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,North Curl Curl,2099,NULL,1000000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Allambie Heights,2100,NULL,1535000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Beacon Hill,2100,NULL,1535000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Brookvale,2100,NULL,1535000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,North Manly,2100,NULL,1535000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Oxford Falls,2100,NULL,1535000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Warringah Mall,2100,NULL,1535000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Elanora Heights,2101,NULL,1257500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Ingleside,2101,NULL,1257500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Narrabeen,2101,NULL,1257500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,North Narrabeen,2101,NULL,1257500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Warriewood,2102,NULL,1220000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Mona Vale,2103,NULL,1400000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Bayview,2104,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Church Point,2105,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Elvina Bay,2105,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Lovett Bay,2105,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Scotland Island,2105,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Newport,2106,NULL,1375000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Newport Beach,2106,NULL,1375000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Avalon Beach,2107,NULL,1630000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Bilgola,2107,NULL,1630000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Careel Bay,2107,NULL,1630000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Clareville,2107,NULL,1630000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Paradise Beach,2107,NULL,1630000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Taylors Point,2107,NULL,1630000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Whale Beach,2107,NULL,1630000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Coasters Retreat,2108,NULL,2000000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Currawong Beach,2108,NULL,2000000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Great Mackerel Beach,2108,NULL,2000000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Morning Bay,2108,NULL,2000000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Palm Beach,2108,NULL,2000000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,The Basin,2108,NULL,2000000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Hunters Hill,2110,NULL,2200000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Woolwich,2110,NULL,2200000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Boronia Park,2111,NULL,825000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Gladesville,2111,NULL,825000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Henley,2111,NULL,825000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Huntleys Cove,2111,NULL,825000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Huntleys Point,2111,NULL,825000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Monash Park,2111,NULL,825000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Tennyson Point,2111,NULL,825000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Denistone East,2112,NULL,1105000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Putney,2112,NULL,1105000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Ryde,2112,NULL,1105000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Blenheim Road,2113,NULL,1355500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,East Ryde,2113,NULL,1355500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Macquarie Centre,2113,NULL,1355500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Macquarie Park,2113,NULL,1355500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,North Ryde,2113,NULL,1355500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Denistone,2114,NULL,861000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Denistone West,2114,NULL,861000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Meadowbank,2114,NULL,861000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Melrose Park,2114,NULL,861000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,West Ryde,2114,NULL,861000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Ermington,2115,NULL,1260000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Rydalmere,2116,NULL,987500.00,2017,6
