TransportId,Name,StopId,StreetNumber,StreetName,Suburb,PostCode,State,Country,EntranceType,Latitude,Longitude,ExitNumber
5704,Dawn Fraser,653,10,Dawn Fraser Avenue,Sydney Olympic Park,2127,New South Wales,Australia,Stairs,-33.846706,151.069556,NULL
5705,Murray Rose,654,11,Murray Rose Avenue,Sydney Olympic Park,2127,New South Wales,Australia,Ramp,-33.846343,151.069495,NULL
5706,Dawn Fraser,655,NULL,NULL,Sydney Olympic Park,2127,New South Wales,Australia,Path,-33.846785,151.069456,NULL
5707,Murray Rose,656,11,Murray Rose Avenue,Sydney Olympic Park,2127,New South Wales,Australia,Stairs,-33.846393,151.069391,NULL
5708,Murray Rose,657,11,Murray Rose Avenue,Sydney Olympic Park,2127,New South Wales,Australia,Lift,-33.846394,151.069248,NULL
5709,Dawn Fraser,658,NULL,NULL,Sydney Olympic Park,2127,New South Wales,Australia,Path,-33.846869,151.069215,NULL
5710,Murray Rose,659,11,Murray Rose Avenue,Sydney Olympic Park,2127,New South Wales,Australia,Stairs,-33.846479,151.069006,NULL
5711,Showground,660,1,Showground Road,Sydney Olympic Park,2127,New South Wales,Australia,Path,-33.846984,151.068271,NULL
5712,Lady Carrington,661,42,Lady Carrington Road,Otford,2508,New South Wales,Australia,Stairs,-34.210526,151.005908,NULL
5713,Lady Carrington,662,42,Lady Carrington Road,Otford,2508,New South Wales,Australia,Ramp,-34.210722,151.005521,NULL
5714,Station,663,42,Lady Carrington Road,Otford,2508,New South Wales,Australia,Stairs,-34.211092,151.005504,NULL
5715,Mill,664,NULL,NULL,Ourimbah,2258,New South Wales,Australia,Stairs,-33.359656,151.370276,NULL
5716,Mill,665,80,Brownlee Street,Ourimbah,2258,New South Wales,Australia,Ramp,-33.359554,151.370108,NULL
5717,Station,666,NULL,NULL,Ourimbah,2258,New South Wales,Australia,Path,-33.359695,151.369750,NULL
5718,Station,667,NULL,NULL,Ourimbah,2258,New South Wales,Australia,Path,-33.359373,151.369735,NULL
5719,Hay,668,NULL,NULL,Haymarket,2000,New South Wales,Australia,Path,-33.879254,151.202740,NULL
5720,Hay,669,NULL,NULL,Haymarket,2000,New South Wales,Australia,Path,-33.879337,151.202620,NULL
5721,Banks,670,134,Cahors Road,Padstow,2211,New South Wales,Australia,Path,-33.951684,151.032344,NULL
5722,Howard,671,NULL,NULL,Padstow,2211,New South Wales,Australia,Ramp,-33.952094,151.032024,NULL
5723,Memorial,672,132,Memorial Drive,Padstow,2211,New South Wales,Australia,Ramp,-33.951764,151.031979,NULL
5724,Memorial,673,NULL,NULL,Padstow,2211,New South Wales,Australia,Path,-33.952005,151.031966,NULL
5725,Memorial,674,NULL,NULL,Padstow,2211,New South Wales,Australia,Stairs,-33.951706,151.031930,NULL
5726,Anderson,675,224,Weston Street,Panania,2213,New South Wales,Australia,Ramp,-33.954133,150.998297,NULL
5727,Weston,676,224,Weston Street,Panania,2213,New South Wales,Australia,Ramp,-33.954404,150.998267,NULL
5728,Station,677,3,Darcy Street,Parramatta,2150,New South Wales,Australia,Stairs,-33.817878,151.006321,NULL
5729,Liverpool-Parramatta,678,10,Valentine Avenue,Parramatta,2150,New South Wales,Australia,Lift,-33.818237,151.005929,NULL
5730,Liverpool-Parramatta,679,3,Darcy Street,Parramatta,2150,New South Wales,Australia,Stairs,-33.818198,151.005884,NULL
5731,Liverpool-Parramatta,680,NULL,NULL,Parramatta,2150,New South Wales,Australia,Stairs,-33.817531,151.005003,NULL
5732,Darcy,681,21,Darcy Street,Parramatta,2150,New South Wales,Australia,Lift,-33.817078,151.004916,NULL
5733,Liverpool-Parramatta,682,87,Argyle Street,Parramatta,2150,New South Wales,Australia,Lift,-33.817376,151.004695,NULL
5734,Darcy,683,21R,Darcy Street,Parramatta,2150,New South Wales,Australia,Stairs,-33.816980,151.004680,NULL
5735,Liverpool-Parramatta,684,NULL,Station Street East,Parramatta,2150,New South Wales,Australia,Escalators,-33.817572,151.004509,NULL
5736,Liverpool-Parramatta,685,87,Argyle Street,Parramatta,2150,New South Wales,Australia,Stairs,-33.817204,151.004443,NULL
5737,Main,686,19,Railway Street,Paterson,2421,New South Wales,Australia,Stairs,-32.602370,151.614764,NULL
5738,Wentworth,687,221,Wentworth Avenue,Pendle Hill,2145,New South Wales,Australia,Ramp,-33.801676,150.957003,NULL
5739,Wentworth,688,227,Wentworth Avenue,Pendle Hill,2145,New South Wales,Australia,Stairs,-33.801271,150.956549,NULL
