SchoolId,SchoolCode,SchoolName,StreetNumber,StreetName,Suburb,District,PostCode,State,Country,LevelOfSchooling,Latitude,Longitude,SchoolSpecialtyType,SchoolSubType,SchoolGender
738,5723,Five Islands School,14,Marmong Street,Booragul,,2284,New South Wales,Australia,Schools for Specific Purposes,-32.974054,151.611684,Comprehensive,Medium / High Support needs,Coed
739,8373,Five Islands Secondary College,192,Military Road,Port Kembla,,2505,New South Wales,Australia,Secondary School,-34.489274,150.913541,Senior College,Year 10 to Year 12,Coed
740,4463,Flinders Public School,22,Mummuga Close,Flinders,,2529,New South Wales,Australia,Primary School,-34.582182,150.850240,Comprehensive,Kinder to Year 6,Coed
741,4379,Floraville Public School,NULL,NULL,Floraville,,2280,New South Wales,Australia,Primary School,-33.014211,151.663835,Comprehensive,Kinder to Year 6,Coed
742,8194,Forbes High School,18,Wyndham Avenue,Forbes,,2871,New South Wales,Australia,Secondary School,-33.364596,148.011352,Comprehensive,Year 7 to Year 12,Coed
743,4100,Forbes North Public School,1,Woods Street,Forbes,,2871,New South Wales,Australia,Primary School,-33.369929,148.001032,Comprehensive,Kinder to Year 6,Coed
744,1926,Forbes Public School,175,Lachlan Street,Forbes,,2871,New South Wales,Australia,Primary School,-33.387948,148.006385,Comprehensive,Kinder to Year 6,Coed
745,1930,Forest Hill Public School,NULL,NULL,Forest Hill,,2651,New South Wales,Australia,Primary School,-35.147875,147.467000,Comprehensive,Kinder to Year 6,Coed
746,1932,Forest Lodge Public School,231-233,Bridge Road,Forest Lodge,,2037,New South Wales,Australia,Primary School,-33.882169,151.181597,Comprehensive,Kinder to Year 6,Coed
747,4019,Forestville Public School,1246,Darley Street,Forestville,,2087,New South Wales,Australia,Primary School,-33.761582,151.212803,Comprehensive,Kinder to Year 6,Coed
748,1936,Forster Public School,9,Hadley Street,Forster,,2428,New South Wales,Australia,Primary School,-32.182470,152.524246,Comprehensive,Kinder to Year 6,Coed
749,8504,Fort Street High School,30,Andreas Street,Petersham,,2049,New South Wales,Australia,Secondary School,-33.890196,151.152900,Comprehensive,Year 7 to Year 12,Coed
750,1937,Fort Street Public School,10,Upper Fort Street,Millers Point,,2000,New South Wales,Australia,Primary School,-33.860427,151.204871,Comprehensive,Kinder to Year 6,Coed
751,5562,Fowler Road School,72,Fowler Road,Merrylands,,2160,New South Wales,Australia,Schools for Specific Purposes,-33.841497,150.975533,Comprehensive,Emotional disturbance,Coed
752,8439,Francis Greenway High School,5,Bangalay Close,Woodberry,,2322,New South Wales,Australia,Secondary School,-32.796980,151.660770,Comprehensive,Year 7 to Year 12,Coed
753,4581,Frank Partridge VC Public School,NULL,NULL,Nambucca Heads,,2448,New South Wales,Australia,Primary School,-30.641818,152.986257,Comprehensive,Kinder to Year 6,Coed
